date,value
1/1/18,1451
1/2/18,2833
1/3/18,104
1/4/18,2238
1/5/18,3178
1/6/18,2764
1/7/18,133
1/8/18,2102
1/9/18,2624
1/10/18,2572
1/11/18,2760
1/12/18,3891.326519
1/13/18,849.6734812
1/14/18,2180
1/15/18,2406
1/16/18,115
1/17/18,2181
1/18/18,2414
1/19/18,1951
1/20/18,287
1/21/18,1711
1/22/18,2154
1/23/18,2560
1/24/18,1661
1/25/18,1143
1/26/18,7800
1/27/18,1308
1/28/18,1307
1/29/18,2783
1/30/18,1198
1/31/18,2749
2/1/18,169
2/2/18,6080
2/3/18,1389
2/4/18,3425
2/5/18,1646
2/6/18,30
2/7/18,2023
2/8/18,1926
2/9/18,314
2/10/18,1440
2/11/18,972
2/12/18,3723
2/13/18,1207
2/14/18,4027
2/15/18,2227
2/16/18,3017
2/17/18,8418
2/18/18,638
2/19/18,4517
2/20/18,1468
2/21/18,3041
2/22/18,6796
2/23/18,3457
2/24/18,2804
2/25/18,1595
2/26/18,2332
2/27/18,6899
2/28/18,4495
3/1/18,2048
3/2/18,3903
3/3/18,6250
3/4/18,1128
3/5/18,3924
3/6/18,2561
3/7/18,1721
3/8/18,423
3/9/18,3616
3/10/18,1791
3/11/18,81
3/12/18,1574
3/13/18,4013
3/14/18,4915
3/15/18,1573
3/16/18,3795
3/17/18,1784
3/18/18,571
3/19/18,4010
3/20/18,4200
3/21/18,454
3/22/18,1871
3/23/18,3496
3/24/18,1384
3/25/18,1894
3/26/18,2968
3/27/18,1409
3/28/18,2013
3/29/18,3900
3/30/18,3674
3/31/18,838
4/1/18,1296
4/2/18,1321
4/3/18,4607
4/4/18,5434
4/5/18,1604
4/6/18,1179
4/7/18,1278
4/8/18,555
4/9/18,1101
4/10/18,2505
4/11/18,1602
4/12/18,5329
4/13/18,4686
4/14/18,1822
4/15/18,840
4/16/18,1875
4/17/18,4179
4/18/18,3968
4/19/18,3355
4/20/18,4449
4/21/18,1828
4/22/18,2500
4/23/18,2346
4/24/18,1631
4/25/18,4758
4/26/18,965
4/27/18,15287.7254
4/28/18,12538.2746
4/29/18,1061
4/30/18,5329
5/1/18,5379
5/2/18,1357
5/3/18,1227
5/4/18,4388
5/5/18,3210
5/6/18,1634
5/7/18,1985
5/8/18,5338
5/9/18,5379
5/10/18,4994
5/11/18,5093
5/12/18,1444
5/13/18,145
5/14/18,4945
5/15/18,3252
5/16/18,3778
5/17/18,6908
5/18/18,2911
5/19/18,2482
5/20/18,5978.96998
5/21/18,2497.03002
5/22/18,1454
5/23/18,2971
5/24/18,3615
5/25/18,2038
5/26/18,1676
5/27/18,2562
5/28/18,1037
5/29/18,4444
5/30/18,2749
5/31/18,4170
6/1/18,7738
6/2/18,2081
6/3/18,79
6/4/18,1358
6/5/18,3080
6/6/18,5679
6/7/18,1511
6/8/18,6468
6/9/18,1758
6/10/18,1717
6/11/18,3701
6/12/18,2838
6/13/18,6235
6/14/18,5263
6/15/18,7678
6/16/18,2459
6/17/18,1808
6/18/18,2688
6/19/18,2508
6/20/18,2833
6/21/18,5265
6/22/18,3242
6/23/18,1471
6/24/18,880
6/25/18,5633
6/26/18,4100
6/27/18,4211
6/28/18,6502
6/29/18,2038
6/30/18,1639
7/1/18,3225
7/2/18,1338
7/3/18,2487
7/4/18,1711
7/5/18,1814
7/6/18,6874
7/7/18,495
7/8/18,1991
7/9/18,2160
7/10/18,2402
7/11/18,3938
7/12/18,6556
7/13/18,4090
7/14/18,3499
7/15/18,11119
7/16/18,6164
7/17/18,4849
7/18/18,4517
7/19/18,7094
7/20/18,2078
7/21/18,1739
7/22/18,125
7/23/18,2146
7/24/18,2017
7/25/18,6586
7/26/18,3447
7/27/18,358
7/28/18,1161
7/29/18,4630
7/30/18,2416
7/31/18,2677
8/1/18,2789
8/2/18,3429
8/3/18,1256
8/4/18,1952
8/5/18,210
8/6/18,1359
8/7/18,1416
8/8/18,5840
8/9/18,6129
8/10/18,3565
8/11/18,4295
8/12/18,987
8/13/18,3241
8/14/18,3083
8/15/18,5404
8/16/18,973
8/17/18,3042
8/18/18,3706
8/19/18,1882
