date,value,avg_1,avg_2,avg_1_nolondon
2020-01-01,3593,4353,4800,4050
2020-01-02,834,4353,4800,4050
2020-01-03,2467,4353,4800,4050
2020-01-04,1469,4353,4800,4050
2020-01-05,4116,4353,4800,4050
2020-01-06,3565,4353,4800,4050
2020-01-07,5223,4353,4800,4050
2020-01-08,4192,4353,4800,4050
2020-01-09,3948,4353,4800,4050
2020-01-10,10392,4353,4800,4050
2020-01-11,6748,4353,4800,4050
2020-01-12,2889,4353,4800,4050
2020-01-13,5374,4353,4800,4050
2020-01-14,4428,4353,4800,4050
2020-01-15,3972,4353,4800,4050
2020-01-16,1690,4353,4800,4050
2020-01-17,5300,4353,4800,4050
2020-01-18,832,4353,4800,4050
2020-01-19,2659,4353,4800,4050
2020-01-20,1724,4353,4800,4050
2020-01-21,502,4353,4800,4050
2020-01-22,6989,4353,4800,4050
2020-01-23,2397,4353,4800,4050
2020-01-24,2648,4353,4800,4050
2020-01-25,8320,4353,4800,4050
2020-01-26,3638,4353,4800,4050
2020-01-27,4614,4353,4800,4050
2020-01-28,1578,4353,4800,4050
2020-01-29,4189,4353,4800,4050
2020-01-30,1684,4353,4800,4050
2020-01-31,7518,4353,4800,4050
2020-02-01,5735,4353,4800,4050
2020-02-02,5431,4353,4800,4050
2020-02-03,4055,4353,4800,4050
2020-02-04,8931,4353,4800,4050
2020-02-05,3407,4353,4800,4050
2020-02-06,4065,4353,4800,4050
2020-02-07,5917,4353,4800,4050
2020-02-08,2774,4353,4800,4050
2020-02-09,3234,4353,4800,4050
2020-02-10,6503,4353,4800,4050
2020-02-11,5287,4353,4800,4050
2020-02-12,3590,4353,4800,4050
2020-02-13,1414,4353,4800,4050
2020-02-14,2712,4353,4800,4050
2020-02-15,770,4353,4800,4050
2020-02-16,7299,4353,4800,4050
2020-02-17,3885,4353,4800,4050
2020-02-18,1705,4353,4800,4050
2020-02-19,3738,4353,4800,4050
2020-02-20,1281,4353,4800,4050
2020-02-21,5922,4353,4800,4050
2020-02-22,948,4353,4800,4050
2020-02-23,2218,4353,4800,4050
2020-02-24,4429,4353,4800,4050
2020-02-25,3786,4353,4800,4050
2020-02-26,3535,4353,4800,4050
2020-02-27,3172,4353,4800,4050
2020-02-28,3049,4353,4800,4050
2020-02-29,11418,4353,4800,4050
2020-03-01,8145,4353,4800,4050
2020-03-02,15357,4353,4800,4050
2020-03-03,4526,4353,4800,4050
2020-03-04,1248,4353,4800,4050
2020-03-05,3660,4353,4800,4050
2020-03-06,5455,4353,4800,4050
2020-03-07,7857,4353,4800,4050
2020-03-08,2323,4353,4800,4050
2020-03-09,3651,4353,4800,4050
2020-03-10,5632,4353,4800,4050
2020-03-11,4769,4353,4800,4050
2020-03-12,4400,4353,4800,4050
2020-03-13,5189,4353,4800,4050
2020-03-14,7131,4353,4800,4050
2020-03-15,7480,4353,4800,4050
2020-03-16,3501,4353,4800,4050
2020-03-17,5423,4353,4800,4050
2020-03-18,4079,4353,4800,4050
2020-03-19,4259,4353,4800,4050
2020-03-20,7127,4353,4800,4050
2020-03-21,174,4353,4800,4050
2020-03-22,7908,4353,4800,4050
2020-03-23,3290,4353,4800,4050
2020-03-24,5437,4353,4800,4050
2020-03-25,4328,4353,4800,4050
2020-03-26,5744,4353,4800,4050
2020-03-27,5494,4353,4800,4050
2020-03-28,4442,4353,4800,4050
2020-03-29,2167,4353,4800,4050
2020-03-30,7414,4353,4800,4050
2020-03-31,3943,4353,4800,4050
2020-04-01,5130,4353,4800,4050
2020-04-02,4182,4353,4800,4050
2020-04-03,5135,4353,4800,4050
2020-04-04,3598,4353,4800,4050
2020-04-05,7109,4353,4800,4050
2020-04-06,3855,4353,4800,4050
2020-04-07,7579,4353,4800,4050
2020-04-08,3207,4353,4800,4050
2020-04-09,4628,4353,4800,4050
2020-04-10,4316,4353,4800,4050
2020-04-11,7082,4353,4800,4050
2020-04-12,2223,4353,4800,4050
2020-04-13,392,4353,4800,4050
2020-04-14,7169,4353,4800,4050
2020-04-15,3979,4353,4800,4050
2020-04-16,5654,4353,4800,4050
2020-04-17,4525,4353,4800,4050
2020-04-18,9446,4353,4800,4050
2020-04-19,1933,4353,4800,4050
2020-04-20,3945,4353,4800,4050
2020-04-21,1762,4353,4800,4050
2020-04-22,4717,4353,4800,4050
2020-04-23,4164,4353,4800,4050
2020-04-24,3808,4353,4800,4050
2020-04-25,5265,4353,4800,4050
2020-04-26,5257,4353,4800,4050
2020-04-27,6359,4353,4800,4050
2020-04-28,2157,4353,4800,4050
2020-04-29,1927,4353,4800,4050
2020-04-30,3667,4353,4800,4050
2020-05-01,5616,4353,4800,4050
2020-05-02,8548,4353,4800,4050
2020-05-03,903,4353,4800,4050
2020-05-04,6528,4353,4800,4050
2020-05-05,6227,4353,4800,4050
2020-05-06,4997,4353,4800,4050
2020-05-07,3783,4353,4800,4050
2020-05-08,4183,4353,4800,4050
2020-05-09,3841,4353,4800,4050
2020-05-10,4580,4353,4800,4050
2020-05-11,3808,4353,4800,4050
2020-05-12,6661,4353,4800,4050
2020-05-13,13090,4353,4800,4050
2020-05-14,2779,4353,4800,4050
2020-05-15,6843,4353,4800,4050
2020-05-16,7413,4353,4800,4050
2020-05-17,178,4353,4800,4050
2020-05-18,1380,4353,4800,4050
2020-05-19,4486,4353,4800,4050
2020-05-20,8666,4353,4800,4050
2020-05-21,5000,4353,4800,4050
2020-05-22,7681,4353,4800,4050
2020-05-23,8275,4353,4800,4050
2020-05-24,1698,4353,4800,4050
