date,value
2016-06-16,690
2016-06-17,6921
2016-06-18,3251
2016-06-19,1529
2016-06-20,2434
2016-06-21,1938
2016-06-22,3274
2016-06-23,6976
2016-06-24,1480
2016-06-25,1490
2016-06-26,4389
2016-06-27,2835
2016-06-28,2809
2016-06-29,3473
2016-06-30,5414
2016-07-01,2732
2016-07-02,1719
2016-07-03,747
2016-07-04,21
2016-07-05,3102
2016-07-06,4155
2016-07-07,5738
2016-07-08,5584
2016-07-09,3486
2016-07-10,5592
2016-07-11,2204
2016-07-12,2520
2016-07-13,2116
2016-07-14,7300
2016-07-15,4367
2016-07-16,1781
2016-07-17,166
2016-07-18,2740
2016-07-19,1510
2016-07-20,2877
2016-07-21,6035
2016-07-22,3536
2016-07-23,10163
2016-07-24,501
2016-07-25,1331
2016-07-26,3846
2016-07-27,4916
2016-07-28,2134
2016-07-29,6340
2016-07-30,1379
2016-07-31,2108
2016-08-01,1905
2016-08-02,3216
2016-08-03,2169
2016-08-04,2976
2016-08-05,4270
2016-08-06,682
2016-08-07,1055
2016-08-08,4442
2016-08-09,3913
2016-08-10,3723
2016-08-11,2682
2016-08-12,4042
2016-08-13,1722
2016-08-14,2909
2016-08-15,1807
2016-08-16,2995
2016-08-17,5370
2016-08-18,9526
2016-08-19,9821
2016-08-20,828
2016-08-21,1365
2016-08-22,4437
2016-08-23,3395
2016-08-24,5429
2016-08-25,2471
2016-08-26,2761
2016-08-27,1684
2016-08-28,604
2016-08-29,3266
2016-08-30,2439
2016-08-31,2021
2016-09-01,1422
2016-09-02,1844
2016-09-03,37
2016-09-04,1155
2016-09-05,580
2016-09-06,4310
2016-09-07,2077
2016-09-08,3393
2016-09-09,3870
2016-09-10,2581
2016-09-11,561
2016-09-12,1560
2016-09-13,6402
2016-09-14,3223
2016-09-15,3211
2016-09-16,6088
2016-09-17,1056
2016-09-18,242
2016-09-19,2452
2016-09-20,2691
2016-09-21,3343
2016-09-22,1405
2016-09-23,1839
2016-09-24,2574
2016-09-25,5636
2016-09-26,1363
2016-09-27,3112
2016-09-28,2867
2016-09-29,2955
2016-09-30,4001.251294
2016-10-01,2769.748706
2016-10-02,5560
2016-10-03,1939
2016-10-04,5177
2016-10-05,2549
2016-10-06,9240
2016-10-07,2146
2016-10-08,1375
2016-10-09,357
2016-10-10,3718
2016-10-11,2789
2016-10-12,4082
2016-10-13,4710
2016-10-14,6806
2016-10-15,950
2016-10-16,2431
2016-10-17,3204
2016-10-18,3050
2016-10-19,7089
2016-10-20,2447
2016-10-21,5134
2016-10-22,596
2016-10-23,365
2016-10-24,1662
2016-10-25,1499
2016-10-26,2917
2016-10-27,2119
2016-10-28,6297
2016-10-29,2844
2016-10-30,519
2016-10-31,2274
2016-11-01,3124
2016-11-02,2851
2016-11-03,3219
2016-11-04,3486
2016-11-05,2304
2016-11-06,2552
2016-11-07,3624
2016-11-08,4016
2016-11-09,4914
2016-11-10,4155
2016-11-11,7939
2016-11-12,5955
2016-11-13,3591
2016-11-14,2458
2016-11-15,636
2016-11-16,2437
2016-11-17,3656
2016-11-18,1728
2016-11-19,4869
2016-11-20,2077
2016-11-21,2389
2016-11-22,4626
2016-11-23,2603
2016-11-24,104
2016-11-25,3100
2016-11-26,1153
2016-11-27,2423
2016-11-28,2699
2016-11-29,1657
2016-11-30,4067
2016-12-01,2624
2016-12-02,5135
2016-12-03,3091.517428
2016-12-04,769.4825718
2016-12-05,3187
2016-12-06,2933
2016-12-07,2623
2016-12-08,2044
2016-12-09,3227
2016-12-10,1788
2016-12-11,3727
2016-12-12,1135
2016-12-13,2793
2016-12-14,2590
2016-12-15,2573
2016-12-16,3369
2016-12-17,2662
2016-12-18,3690
2016-12-19,1470
2016-12-20,2674
2016-12-21,644
2016-12-22,3804
2016-12-23,989
2016-12-24,675
2016-12-25,156
2016-12-26,271
2016-12-27,359
2016-12-28,2444
2016-12-29,6606
2016-12-30,3570
2016-12-31,263
2017-01-01,3752
2017-01-02,2596
2017-01-03,2635
2017-01-04,1781
2017-01-05,1304
2017-01-06,2162
2017-01-07,3360
2017-01-08,1369
2017-01-09,1375
2017-01-10,1948
2017-01-11,1659
2017-01-12,2524
2017-01-13,2841
2017-01-14,3499
2017-01-15,1950
2017-01-16,3045
2017-01-17,4756
2017-01-18,3247
2017-01-19,5418
2017-01-20,1195
2017-01-21,1845
2017-01-22,2359
2017-01-23,1923
2017-01-24,1432
2017-01-25,3624
2017-01-26,2518
2017-01-27,4647
2017-01-28,1732
2017-01-29,3081
2017-01-30,3358
2017-01-31,1401
2017-02-01,1721
2017-02-02,4316
2017-02-03,4054
2017-02-04,4552
2017-02-05,1477
2017-02-06,1406
2017-02-07,1765
2017-02-08,4760
2017-02-09,2496
2017-02-10,1253
2017-02-11,4332
2017-02-12,2281
2017-02-13,2635
2017-02-14,716
2017-02-15,4180
2017-02-16,3133
2017-02-17,2385
2017-02-18,5664
2017-02-19,5980
2017-02-20,6444
2017-02-21,6640
2017-02-22,2838
2017-02-23,4437
2017-02-24,2389
2017-02-25,699
2017-02-26,2200
2017-02-27,2320
2017-02-28,1448
2017-03-01,3857
2017-03-02,2278
2017-03-03,3699
2017-03-04,800
2017-03-05,1360
2017-03-06,2666
2017-03-07,1775
2017-03-08,2207
2017-03-09,3043
2017-03-10,2145
2017-03-11,1077
2017-03-12,2626
2017-03-13,1850
2017-03-14,2110
2017-03-15,2586
2017-03-16,1772
2017-03-17,3481
2017-03-18,786
2017-03-19,1366
2017-03-20,2866
2017-03-21,1567
2017-03-22,2272
2017-03-23,3585
2017-03-24,4535
2017-03-25,3849
2017-03-26,526
2017-03-27,2776
2017-03-28,2430
2017-03-29,4083
2017-03-30,1840
2017-03-31,2393
2017-04-01,2486
2017-04-02,329
2017-04-03,3108
2017-04-04,2176
2017-04-05,3155
2017-04-06,2161
2017-04-07,2088
2017-04-08,2103
2017-04-09,1878
2017-04-10,2452
2017-04-11,2198
2017-04-12,6550
2017-04-13,4955
2017-04-14,5641
2017-04-15,3597
2017-04-16,851
2017-04-17,2519
2017-04-18,2681
2017-04-19,2736
2017-04-20,2470
2017-04-21,2082
2017-04-22,1807
2017-04-23,1513
2017-04-24,5798
2017-04-25,5799
2017-04-26,6085
2017-04-27,2536
2017-04-28,3694
2017-04-29,3288
2017-04-30,2413
2017-05-01,1800
2017-05-02,1445
2017-05-03,4631
2017-05-04,2514
2017-05-05,2598
2017-05-06,5335
2017-05-07,1397
2017-05-08,2696
2017-05-09,3188
2017-05-10,3729
2017-05-11,2526
2017-05-12,2180
2017-05-13,607
2017-05-14,2491
2017-05-15,3671
2017-05-16,894
2017-05-17,1592
2017-05-18,5251.52802
2017-05-19,6147.47198
2017-05-20,148
2017-05-21,2815
2017-05-22,2567
2017-05-23,2125
2017-05-24,3630
2017-05-25,3188
2017-05-26,8970
2017-05-27,2669
2017-05-28,3470
2017-05-29,1597
2017-05-30,5635
2017-05-31,5318
2017-06-01,3678
2017-06-02,5545
2017-06-03,5742
2017-06-04,2983
2017-06-05,3480
2017-06-06,2939
2017-06-07,2228
2017-06-08,6739
2017-06-09,1478
2017-06-10,2157
2017-06-11,1807
2017-06-12,2289
2017-06-13,2483
2017-06-14,5628
2017-06-15,4380
2017-06-16,6077
2017-06-17,897
2017-06-18,74
2017-06-19,2018.200158
2017-06-20,2843.799842
2017-06-21,3828
2017-06-22,1764
2017-06-23,5157
2017-06-24,1777
2017-06-25,2558
2017-06-26,3965
2017-06-27,1843
2017-06-28,6859
2017-06-29,3144
2017-06-30,4648
2017-07-01,1856
2017-07-02,112
2017-07-03,256
2017-07-04,223
2017-07-05,4718
2017-07-06,1487
2017-07-07,1951
2017-07-08,891
2017-07-09,2341
2017-07-10,1967
2017-07-11,1207
2017-07-12,5084
2017-07-13,1550
2017-07-14,2054
2017-07-15,4896
2017-07-16,602
2017-07-17,3884
2017-07-18,5335
2017-07-19,6435
2017-07-20,914
2017-07-21,1460
2017-07-22,4876
2017-07-23,1232
2017-07-24,4640
2017-07-25,4289.686524
2017-07-26,17338.31348
2017-07-27,10205
2017-07-28,10668.23188
2017-07-29,9428.768123
2017-07-30,3342
2017-07-31,4621.383832
2017-08-01,2366.616168
2017-08-02,1525
2017-08-03,1694
2017-08-04,3660
2017-08-05,2759
2017-08-06,2950
2017-08-07,2580
2017-08-08,4022
2017-08-09,3146
2017-08-10,3912
2017-08-11,3361
2017-08-12,5507
2017-08-13,4292
2017-08-14,3259
2017-08-15,5785
2017-08-16,4618
2017-08-17,3751
2017-08-18,3718
2017-08-19,3696
2017-08-20,2746
2017-08-21,5858
2017-08-22,4635
2017-08-23,1331
2017-08-24,2967
2017-08-25,5445
2017-08-26,9133
2017-08-27,4348
2017-08-28,1246
2017-08-29,2756
2017-08-30,4959
2017-08-31,2685
2017-09-01,6004.262486
2017-09-02,2223.737514
2017-09-03,5775
2017-09-04,762
2017-09-05,4466
2017-09-06,3086
2017-09-07,1231
2017-09-08,5908
2017-09-09,1424
2017-09-10,1683
2017-09-11,2069
2017-09-12,7412
2017-09-13,2814
2017-09-14,3195
2017-09-15,6347
2017-09-16,694
2017-09-17,498
2017-09-18,3568
2017-09-19,4764
2017-09-20,585
2017-09-21,2384
2017-09-22,2570
2017-09-23,4444
2017-09-24,4259
2017-09-25,6179
2017-09-26,2742
2017-09-27,2377
2017-09-28,2970
2017-09-29,4529
2017-09-30,2704
2017-10-01,1421
2017-10-02,2674
2017-10-03,3157
2017-10-04,932
2017-10-05,5104
2017-10-06,3620
2017-10-07,1231
2017-10-08,2392
2017-10-09,5482
2017-10-10,8405
2017-10-11,3006
2017-10-12,4443
